REMOVE_MILITARY_DEMOBILIZE;Desmobilizar nossa população;Démobiliser notre population;Bevölkerung demobilisieren;;Desmovilizar a nuestra población;;;;;;;;;x;
REMOVE_MILITARY_DEMOBILIZE_DESC;TODO Write demobilize desc;TODO Write demobilize desc;TODO Write demobilize desc;;TODO Escribir desmovilizar desc;;;;;;;;;x;
MILITARY_WAR_EXHAUSTION;Exaustão de guerra;Épuisement de guerre;Kriegsermüdung;;Agotamiento bélico;;;;;;;;;x;
MILITARY_SUPPLY_CONSUMPTION;Consumo de suprimentos;Conso. de ressources;Nachschubverbrauch;;Consumo de suministros;;;;;;;;;x;
MILITARY_ORG_REGAIN;Recuperar organização;Regain d'organisation;Organisations-Rückgewinn;;Recuperar organización;;;;;;;;;x;
MILITARY_ARMY_ORG;Organização terrestre;Organisation terrestre;Armeeorganisation;;Organización terrestre;;;;;;;;;x;
MILITARY_NAVY_ORG;Organização naval;Organisation navale;Marineorganisation;;Organización naval;;;;;;;;;x;
MILITARY_UNIT_EXPERIENCE;Experiência inicial de unidade;Expér. initiale de l'unité;Einheits-Basiserfahrung;;Exp. inicial de la unidad;;;;;;;;;x;
MILITARY_RECRUIT_TIME;Tempo de recrutamento;Durée de recrut. de l'unité;Rekrutierungsdauer;;Tiempo de reclutamiento;;;;;;;;;x;
MILITARY_COMBAT_WIDTH;Área de combate;Aire de combat;Gefechtsbreite;;Anchura del combate;;;;;;;;;x;
COMWID_BASE;Valor Base: §Y$VAL$§W;Valeur de base : §Y$VAL$§W;Basiswert: §Y$VAL$§W;;Valor base: §Y$VAL$§W;;;;;;;;;x;
MILITARY_WAR_EXHAUSTION_TOOLTIP;Exaustão de guerra: $VALUE$;Épuisement de guerre : $VALUE$;Kriegsermüdung: $VALUE$;;Agotamiento bélico: $VALUE$;;;;;;;;;x;
MILITARY_MAX_WAR_EXHAUSTION_TOOLTIP;Exaustão de guerra máximo: $VALUE$;Épuisement de guerre max. : $VALUE$;Max. Kriegsermüdung: $VALUE$;;Agotamiento bélico máximo: $VALUE$;;;;;;;;;x;
MILITARY_BASEVALUE_PERCENT;Valor Base: §Y100%§W;Valeur de base : §Y100%§W;Basiswert: §Y100%§W;;Valor base: §Y100%§W;;;;;;;;;x;
MILITARY_BASEVALUE;Valor Base: §Y0.00§W;Valeur de base : §Y0.00§W;Basiswert: §Y0.00§W;;Valor base: §Y0.00§W;;;;;;;;;x;
AVAILABLE_EXPORTS;Sobre os mercados de exportação: $VAL$;Sur les marchés exportateurs : $VAL$;Auf Exportmärkte: $VAL$;;Sobre los mercados de exportación: $VAL$;;;;;;;;;x;
MILITARY_BUILD_UNIT_TOOLTIP;Construir §Y$NAME$§W em §Y$LOC$§W;Construire §Y$NAME$§W à §Y$LOC$§W;§Y$NAME$§W in §Y$LOC$§W bauen.;;Construir §Y$NAME$§W en §Y$LOC$§W;;;;;;;;;x;
MILITARY_CANCEL_BUILD_UNIT_TOOLTIP;Cancelar construção def §Y$NAME$§W em §Y$LOC$§W;Annuler la construction de §Y$NAME$§W à §Y$LOC$§W;Bau von §Y$NAME$§W in §Y$LOC$§W abbrechen.;;Cancelar construcción de §Y$NAME$§W en §Y$LOC$§W;;;;;;;;;x;
traditional_academic;Academia Tradicional;Académie traditionnelle;Traditionelle Wissenschaftswelt;;Academia tradicional;;;;;;;;;x;
army_tech_school;Complexo Militar-Industrial;Complexe militaro-industriel;Militärisch-industrieller Komplex;;Complejo industrial militar;;;;;;;;;x;
naval_tech_school;O Poder Marítimo;Puissance maritime & marine marchande;Seemacht & Die Handelsmarine;;El Poder marítimo ;;;;;;;;;x;
industrial_tech_school;Industrialismo Corporativo;Industrialisme corporatif;Kooperativer Industrialismus;;Industrialismo corporativo;;;;;;;;;x;
culture_tech_school;Intelectualidade de Vanguarda;Intelligentsia d'avant-garde;Avantgardistische Intelligentsia;;Intelectualidad de vanguardia;;;;;;;;;x;
commerce_tech_school;Negócios e Capitalismo;Écoles commerciales et capitalisme;Kaufmannsschulen & Magnats-Kapitalismus;;Negocios y Capitalismo;;;;;;;;;x;
prussian_tech_school;Junkers, Heer & Krupp;Junkers, Heer & Krupp;Junkers, Heer & Krupp;;Junkers, Heer y Krupp;;;;;;;;;x;
EVTNAME14730;Liga Anti-Colonial;Ligue anticoloniale;Antikoloniale Liga;;Liga anticolonial;;;;;;;;;x;
EVTDESC14730;E quando consideramos as injustiças causadas por representantes do(a) $COUNTRY$ nas colônias, não nos surpreenderemos ao descobrir que '$COUNTRY_ADJ$', nesses muitos lugares,muito além das costas do nosso país, tornou-se sinônimo de roubo, furto e assassinato. Nossa mensagem aqui hoje é alta e clara: $COUNTRY$! Saia das colônias!'\n\nUma Liga Anti-Colonial foi formada por $COUNTRY_ADJ$ radicais. Ostensivamente dominados pelos intelectuais que apóiam a causa da independência colonial, os relatórios de nossa Polícia Secreta deixam claro que a Liga está intimamente ligada à Internacional Socialista.;"Et lorsque nous nous pencherons sur les injustices commises par les représentants de $COUNTRY$ dans les colonies, nous ne serons pas surpris de constater que les ""$COUNTRY_ADJ$"", à de nombreux endroits, bien loin des rivages de notre pays, se livrent à des vols et autres crimes. Aujourd'hui, notre message est clair : $COUNTRY$ ! Quittez les colonies !\n\nUne ligue anticoloniale a été formée par les radicaux $COUNTRY_ADJ$. Apparemment dominée par des intellectuels en faveur de l'indépendance coloniale, les rapports de notre police secrète attestent du fait que la ligue est étroitement liée à l'Internationale socialiste.";Und wenn wir die Ungerechtigkeiten in Betracht ziehen, welche von den Repräsentanten von $COUNTRY$ in den Kolonien begangen werden, so verwundert es nicht, dass '$COUNTRY_ADJ$' außerhalb unserer Landesgrenzen vielerorts zu einem Synonym für Diebstahl und Mord geworden ist. Unsere heutige Forderung ist deshalb laut und klar: $COUNTRY$! Keine Kolonien mehr!'\n\nDie $COUNTRY_ADJ$ Radikalen haben eine antikoloniale Liga gegründet. Die Liga wird angeblich von Intellektuellen dominiert, die sich für die koloniale Unabhängigkeit einsetzen, aber Berichte unserer Geheimpolizei haben bewiesen, dass die Liga eng mit der sozialistischen Internationalen verbunden ist.;;Y cuando consideramos las injusticias causadas por representantes de $COUNTRY$ en las colonias, no nos sorprenderemos si descubrimos que ser gente '$COUNTRY_ADJ$', en muchos sitios más allá de las costas de nuestro país, se ha convertido en sinónimo de robo, latrocinio y asesinato. Nuestro mensaje hoy es alto y claro: ¡$COUNTRY$! ¡Abandonar las colonias!\n\nLos radicales de $COUNTRY$ han formado una Liga Anticolonial. Ostensiblemente dominada por los intelectuales que sostienen la causa de la independencia colonial, los informes de nuestra Policía Secreta dejan bien claro que la Liga está estrechamente vinculada a la Internacional Socialista.;;;;;;;;;x;
EVTOPTA14730;Denuncie a Liga;Dénoncer la ligue;Denunziert die Liga;;Denunciad a la Liga.;;;;;;;;;x;
EVTOPTB14730;Ignore a liga;Ignorer la ligue;Ignoriert die Liga;;Ignorad a la Liga.;;;;;;;;;x;
EVTOPTC14730;Apoie a liga;Soutenir la ligue;Unterstützt die Liga;;Apoyad a la Liga.;;;;;;;;;x;
EVTNAME14740;Colônia Modelo;Colonie modèle;Modellkolonie;;Colonia modelo;;;;;;;;;x;
EVTDESC14740;With the competition for colonies constantly increasing, as European nations scramble for Africa and the World, $COUNTRY$ has done well for itself. One $COUNTRY_ADJ$ colony has, in the past few years, become internationally recognized as the model of a well managed European colony, and the attention that this colony has garnered for $COUNTRY_ADJ$ colonial policy, in the parliaments and courts of Europe, is proving a wonderful boon for $COUNTRY_ADJ$ research and international prestige.;Face à la course aux colonies croissante que se livrent les nations européennes en Afrique et dans le monde, $COUNTRY$ s'en sort plutôt bien. Une colonie $COUNTRY_ADJ$ a, au cours des années passées, été reconnue, au niveau international, en tant que modèle d'une colonie européenne bien gérée, et l'attention que cette colonie a suscité pour la politique coloniale $COUNTRY_ADJ$, dans les parlements et cours européens, atteste du bienfait $COUNTRY_ADJ$ en termes de recherche et de prestige international.;Angesichts der stetig steigenden Konkurrenz europäischer Nationen für Kolonien in Afrika und der ganzen Welt hat sich $COUNTRY$ gut geschlagen. Eine $COUNTRY_ADJ$ Kolonie hat sich in den letzten Jahren zu einer international anerkannten europäischen Modellkolonie entwickelt, und die Aufmerksamkeit, die diese Kolonie in den Parlamenten und an den Höfen Europas auf die $COUNTRY_ADJ$ Kolonialpolitik gelenkt hat, ist eine wunderbare Bestätigung für die $COUNTRY_ADJ$ Forschung und sorgt für großes internationales Prestige.;;Con la competencia por las colonias en constante aumento, mientras las naciones europeas se pelean por África y el resto del mundo, $COUNTRY$ se las ha arreglado bien. Una colonia $COUNTRY_ADJ$ ha sido reconocida internacionalmente en los últimos años como el modelo de colonia europea bien gestionada, y la atención que esta colonia ha atraído sobre la política colonial $COUNTRY_ADJ$ en las cortes y parlamentos de Europa, resulta una gran ventaja para la investigación y el prestigio internacional de $COUNTRY$.;;;;;;;;;x;
EVTOPTA14740;Maravilhoso!;Magnifique !;Wunderbar!;;¡Magnífico!;;;;;;;;;x;
EVTNAME14750;Política Colonial Debatida;Politique coloniale débattue;Kolonialpolitik debattiert;;Política colonial debatida;;;;;;;;;x;
EVTDESC14750;E embora eu respeite muito meu colega de leal oposição, não posso deixar de perguntar-lhe repetidas vezes quais foram seus motivos para levantar a questão das despesas do Ministério das Colônias. As colônias são uma pedra fundamental da política do governo, então vale a pena pagar por elas.'\n\nTAs colônias ocupam novamente as manchetes em $COUNTRY$ depois de um debate acalorado na câmara alta. Os membros da oposição defenderam a redução do orçamento atribuído ao escritório colonial, e eles e a maioria dos membros do parlamento realizaram grandes ofensivas na câmara alta para tentar convencer os eleitores indecisos e aqueles que mudam no último minuto. em apoio às suas respectivas políticas.;... et même si je respecte mon collègue de l'opposition, je ne peux pas m'empêcher de remettre en question ses motivations à continuellement faire état des dépenses du Bureau colonial. Les colonies sont la pierre angulaire de la politique gouvernementale et en valent la peine.\n\nLes colonies font encore la une en $COUNTRY$, à la suite d'un vif débat à la Chambre haute. Les membres de l'opposition se sont montrés en faveur d'une réduction du budget alloué au Bureau colonial et, soutenus par une majorité des membres du parlement, ont lancé plusieurs offensives à la Chambre haute pour tenter de convaincre les indécis de soutenir leurs politiques respectives.;Und obwohl ich meinen Kollegen der loyalen Opposition sehr respektiere, muss ich seinen Antrieb, dieses Thema zu Lasten des Kolonialamts zur Sprache zu bringen, wieder und wieder in Frage stellen. Die Kolonien sind ein Eckpfeiler der Regierungspolitik und ihr Geld wert.'\n\nDie Kolonien stehen in $COUNTRY$ nach einer heftigen Debatte im Oberhaus wieder in den Schlagzeilen. Oppositionsmitglieder argumentieren für eine Reduzierung des Kolonialamt-Budgets. Sie und die Mehrzahl der Parlamentsmitglieder haben im Oberhaus massive Vorstöße gemacht, um Wechselwähler und Überläufer zur Unterstützung ihrer Sache zu bewegen.;;E embora eu respeite muito meu colega de leal oposição, não posso deixar de perguntar-lhe repetidas vezes quais foram seus motivos para levantar a questão das despesas do Ministério das Colônias. As colônias são uma pedra fundamental da política do governo, então vale a pena pagar por elas.\n\nAs colônias ocupam novamente as manchetes em $COUNTRY$, depois de um debate acalorado na câmara alta. Os membros da oposição defenderam a redução do orçamento atribuído ao escritório colonial, e eles e a maioria dos membros do parlamento realizaram grandes ofensivas na câmara alta para tentar convencer os eleitores indecisos e aqueles que mudam no último minuto. em apoio às suas respectivas políticas.;;;;;;;;;x;
EVTOPTA14750;Argumentos conservadores prevalecem;Les arguments conservateurs prédominent;Die konservativen Argumente sind besser.;;Se imponen los argumentos conservadores.;;;;;;;;;x;
EVTOPTB14750;Os argumentos liberais prevalecem;Les arguments libéraux prédominent;Die liberalen Argumente sind besser.;;Se imponen los argumentos liberales.;;;;;;;;;x;
EVTNAME14760;Corrupção Colonial;Corruption coloniale;Korruption in den Kolonien;;Corrupción colonial;;;;;;;;;x;
EVTDESC14760;Um escândalo de corrupção revelado lentamente no escritório colonial $COUNTRY_ADJ$ sacode o $CAPITAL$, quando um importante jornal publica relatórios detalhando uma extensa rede de subornos e favores, destinada a fornecer a certos interesses privados um tratamento preferencial em relação ao comércio e à exploração das colônias. Críticos da política do governo sugerem que os salários relativamente baixos e fundos escassos atribuídos a autoridades coloniais são as razões determinantes para o escândalo, enquanto a atmosfera que prevalece nos círculos do governo parece ser a de uma cultura de corrupção dentro do setor privado.;Un scandale de corruption latente au sein du Bureau colonial $COUNTRY_ADJ$ secoue $CAPITAL$ alors qu'un éminent journal publie des rapports détaillant un important réseau de corruptions et de faveurs mis en place pour favoriser certains intérêts privés en termes de commerce et d'exploitation coloniaux. Les critiques proférées à l'égard de la politique gouvernementale pointent du doigt les bas salaires et piètres fonds alloués aux fonctionnaires coloniaux comme les raisons déterminantes du scandale, alors que la tendance prédominante au sein des cercles gouvernementaux semble indiquer que la culture de la corruption du secteur privé est à l'origine de l'état déplorable du Bureau colonial.;Ein sich langsam entfaltender Korruptionsskandal im $COUNTRY_ADJ$ Kolonialamt erschüttert $CAPITAL$. Bedeutende Zeitungen veröffentlichen Berichte über ein ausgedehntes Bestechungs- und Begünstigungsnetzwerk, das darauf ausgelegt ist, hinsichtlich des Kolonialhandels und der Kolonialausbeutung bestimmten Privatinteressen Vorrang zu geben. Kritiker unserer Regierungspolitik weisen auf die relativ geringen Löhne und Budgets von Kolonialoffiziellen als Hauptgründe des Skandals hin, während in Regierungskreisen eher die Meinung vorzuherrschen scheint, dass tiefgreifende Korruption im Privatsektor für den erbärmlichen Zustand des Kolonialamts verantwortlich ist.;;Um escândalo de corrupção revelado lentamente no escritório colonial $COUNTRY_ADJ$ sacode o $CAPITAL$, quando um importante jornal publica relatórios detalhando uma extensa rede de subornos e favores, destinada a fornecer a certos interesses privados um tratamento preferencial em relação ao comércio e à exploração das colônias. Críticos da política do governo sugerem que os salários relativamente baixos e fundos escassos atribuídos a autoridades coloniais são as razões determinantes para o escândalo, enquanto a atmosfera que prevalece nos círculos do governo parece ser a de uma cultura de corrupção dentro do setor privado.;;;;;;;;;x;
EVTOPTA14760;O governo deve aceitar a responsabilidade por suas próprias deficiências;Le gouvernement doit accepter la responsabilité de ses propres imperfections;Die Regierung muss die Verantwortung für ihre eigenen Unzulänglichkeiten übernehmen!;;El gobierno debe aceptar la responsabilidad de sus propios errores.;;;;;;;;;x;
EVTOPTB14760;O ministério está no bolso da grande indústria, por isso é culpa dela!;Le bureau est sous le joug de l'industrie et celle-ci en est responsable !;Das Amt wird von der Großindustrie gesteuert, also ist die Großindustrie schuld!;;¡El ministerio está en el bolsillo de la gran Industria, así que ella tiene la culpa!;;;;;;;;;x;
